Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down,PT stat,PT p-value
Ridge,512,-0.003471466135432477,0.0010685692562122638,0.018185229727901178,0.5065194346289753,0.8415534737103086,0.17405332576939442,6.599836162541061,4.1161296593372754e-11
TimeFm,5,-0.262339137535343,0.0013442303431692392,0.02105053663783974,0.4891872791519435,0.5062425841642021,0.47493263366898314,-7.254781355377393,4.0234482412415673e-13
TimeFm,21,-0.10871989394199422,0.0011806454218175437,0.01946987806888395,0.49258833922261486,0.520888306444472,0.4670968656928095,-4.95210371784276,7.34154544268506e-07
TimeFm,252,-0.05004173964930403,0.001118160663850359,0.01860627792931925,0.4965459363957597,0.49055200382524305,0.5054070344631967,-2.3364070071298193,0.019470039101431302
TimeFm,512,-0.03971822438497008,0.001107167435442989,0.018518475317083376,0.49885159010600705,0.523013441479094,0.4775386470004255,-0.7376642548114478,0.46071849871471837
Uni2Ts Base,5,-0.5331172772189376,0.0016325745613008865,0.023163859273092925,0.49536219081272087,0.8451839127277879,0.14802864841866403,-3.5848177293119403,0.0003373136958182421
Uni2Ts Base,21,-0.3469187977342456,0.0014342969047402379,0.022189843322600895,0.49901060070671377,0.9829989197230241,0.017391150191462205,0.37563132188108805,0.7071910017451251
Uni2Ts Base,252,-0.28430569361526525,0.0013676219265714717,0.022201680381000788,0.49873674911660776,0.9987426284378487,0.001081406892639342,-0.8979158081579354,0.36923043620671137
Uni2Ts Base,512,-0.2715691805747107,0.001354059162979501,0.022094751089773115,0.4990459363957597,0.9990791081516638,0.0013650546021840874,2.1671132109795015,0.03022622282555143
Uni2Ts Small,5,-0.5384397781225723,0.0016382423466079162,0.023175294450961,0.495583038869258,0.8460162572830149,0.14763863281804,-3.3819956441305057,0.0007196128566822058
Uni2Ts Small,21,-0.34183931855673366,0.001428887906607423,0.02218527435061293,0.49870141342756186,0.9828749535126711,0.0168947666997589,-0.4258816071228215,0.670194117951632
Uni2Ts Small,252,-0.2795016770009511,0.0013625062609709747,0.02218054769107346,0.4988604240282686,0.9986363716861175,0.0014359665295702738,0.2888898454712533,0.7726656747222456
Uni2Ts Small,512,-0.27322673207042913,0.0013558242441289775,0.02210044205437682,0.4989487632508834,0.9988488851895797,0.0014005105658771806,1.1392017697742773,0.2546190075943773
