date,mktrf,rf
2016-12-09,0.004600,0.00001
2016-12-12,-0.003000,0.00001
2016-12-13,0.006000,0.00001
2016-12-14,-0.008200,0.00001
2016-12-15,0.004600,0.00001
2016-12-16,-0.002200,0.00001
2016-12-19,0.002200,0.00001
2016-12-20,0.004400,0.00001
2016-12-21,-0.002400,0.00001
2016-12-22,-0.003000,0.00001
2016-12-23,0.001900,0.00001
2016-12-27,0.002700,0.00001
2016-12-28,-0.008700,0.00001
2016-12-29,-0.000400,0.00001
2016-12-30,-0.005200,0.00001
2017-01-03,0.008300,0.00002
2017-01-04,0.007900,0.00002
2017-01-05,-0.002100,0.00002
2017-01-06,0.002900,0.00002
2017-01-09,-0.003700,0.00002
2017-01-10,0.001600,0.00002
2017-01-11,0.003100,0.00002
2017-01-12,-0.003000,0.00002
2017-01-13,0.002900,0.00002
2017-01-17,-0.004900,0.00002
2017-01-18,0.002400,0.00002
2017-01-19,-0.003800,0.00002
2017-01-20,0.003300,0.00002
2017-01-23,-0.002900,0.00002
2017-01-24,0.008200,0.00002
2017-01-25,0.008400,0.00002
2017-01-26,-0.001000,0.00002
2017-01-27,-0.001200,0.00002
2017-01-30,-0.006800,0.00002
2017-01-31,0.000000,0.00002
2017-02-01,0.000300,0.00002
2017-02-02,-0.000200,0.00002
2017-02-03,0.008200,0.00002
2017-02-06,-0.002700,0.00002
2017-02-07,-0.000100,0.00002
2017-02-08,0.000700,0.00002
2017-02-09,0.007200,0.00002
2017-02-10,0.003700,0.00002
2017-02-13,0.004900,0.00002
2017-02-14,0.004500,0.00002
2017-02-15,0.005300,0.00002
2017-02-16,-0.001600,0.00002
2017-02-17,0.002000,0.00002
2017-02-21,0.006000,0.00002
2017-02-22,-0.001500,0.00002
2017-02-23,-0.001200,0.00002
2017-02-24,0.001500,0.00002
2017-02-27,0.002100,0.00002
2017-02-28,-0.004200,0.00002
2017-03-01,0.014700,0.00001
2017-03-02,-0.007000,0.00001
2017-03-03,0.000800,0.00001
2017-03-06,-0.003700,0.00001
2017-03-07,-0.003500,0.00001
2017-03-08,-0.001900,0.00001
2017-03-09,0.000500,0.00001
2017-03-10,0.003400,0.00001
2017-03-13,0.001300,0.00001
2017-03-14,-0.003600,0.00001
2017-03-15,0.008600,0.00001
2017-03-16,-0.000700,0.00001
2017-03-17,-0.000800,0.00001
2017-03-20,-0.002600,0.00001
2017-03-21,-0.014900,0.00001
2017-03-22,0.001600,0.00001
2017-03-23,-0.000300,0.00001
2017-03-24,-0.000500,0.00001
2017-03-27,-0.000600,0.00001
2017-03-28,0.007300,0.00001
2017-03-29,0.001800,0.00001
2017-03-30,0.003600,0.00001
2017-03-31,-0.001600,0.00001
