Model,Strategy,Rolling Window,Final Cumulative Return
NN4,SHORT_ONLY,252,4.833879803383162e-15
NN2,SHORT_ONLY,252,1.1123443520602205e-15
RF,SHORT_ONLY,252,7.208408151231818e-16
NN3,SHORT_ONLY,252,1.6991134722996062e-16
NN1,SHORT_ONLY,252,3.2763672626219365e-17
timefm,SHORT_ONLY,512,1.3290645601357226e-09
unit2ts,SHORT_ONLY,512,2.702632975333771e-10
chronos_t5,SHORT_ONLY,512,6.744431079874926e-13
Lasso,SHORT_ONLY,512,7.368273398405154e-14
OLS,SHORT_ONLY,512,6.568071616266694e-14
Ridge,SHORT_ONLY,512,6.568071616266694e-14
PLS,SHORT_ONLY,512,6.568071616266694e-14
PCR,SHORT_ONLY,512,3.232403002569415e-14
NN2,SHORT_ONLY,512,1.0097102425241986e-14
NN5,SHORT_ONLY,512,3.572673344824287e-15
NN4,SHORT_ONLY,512,1.419243127932205e-15
NN1,SHORT_ONLY,512,7.277896149260865e-16
RF,SHORT_ONLY,512,4.572791962181912e-16
NN3,SHORT_ONLY,512,1.0305068793451433e-16
Lasso,TOP_MINUS_REST,5,1.0557587909641533
OLS,TOP_MINUS_REST,5,1.0390239567801638
Ridge,TOP_MINUS_REST,5,1.0390239567801638
PLS,TOP_MINUS_REST,5,1.0390239567801638
PCR,TOP_MINUS_REST,5,1.0390239567801638
NN1,TOP_MINUS_REST,5,0.785217285345104
NN2,TOP_MINUS_REST,5,0.49798035063830004
NN4,TOP_MINUS_REST,5,0.49480786573045454
RF,TOP_MINUS_REST,5,0.44114537477041077
NN3,TOP_MINUS_REST,5,0.3805778040354608
unit2ts,TOP_MINUS_REST,5,0.3731306862956613
NN5,TOP_MINUS_REST,5,0.3321594893893228
chronos_t5,TOP_MINUS_REST,5,0.3055775097143417
timefm,TOP_MINUS_REST,5,0.26771333963271493
PCR,TOP_MINUS_REST,21,0.9555806029330571
Lasso,TOP_MINUS_REST,21,0.8627524556193334
OLS,TOP_MINUS_REST,21,0.8159999553768541
Ridge,TOP_MINUS_REST,21,0.8159999553768541
PLS,TOP_MINUS_REST,21,0.8159999553768541
unit2ts,TOP_MINUS_REST,21,0.5544256560605381
NN2,TOP_MINUS_REST,21,0.5376663692767658
RF,TOP_MINUS_REST,21,0.511603032284856
NN4,TOP_MINUS_REST,21,0.4831949812185646
NN5,TOP_MINUS_REST,21,0.455282596846618
NN1,TOP_MINUS_REST,21,0.418396508705984
chronos_t5,TOP_MINUS_REST,21,0.3714334401972067
NN3,TOP_MINUS_REST,21,0.3436190428018589
timefm,TOP_MINUS_REST,21,0.2562623068012656
Lasso,TOP_MINUS_REST,252,1.1187662718934914
OLS,TOP_MINUS_REST,252,1.113741871573454
Ridge,TOP_MINUS_REST,252,1.113741871573454
PLS,TOP_MINUS_REST,252,1.113741871573454
NN4,TOP_MINUS_REST,252,0.8681859288301643
PCR,TOP_MINUS_REST,252,0.8444611998028865
RF,TOP_MINUS_REST,252,0.7061560074837105
unit2ts,TOP_MINUS_REST,252,0.6781724256273578
NN5,TOP_MINUS_REST,252,0.6571302025426341
NN2,TOP_MINUS_REST,252,0.635576687341178
chronos_t5,TOP_MINUS_REST,252,0.5573898599626782
NN3,TOP_MINUS_REST,252,0.43544296467699944
NN1,TOP_MINUS_REST,252,0.4187467042852934
timefm,TOP_MINUS_REST,252,0.31790619618267946
OLS,TOP_MINUS_REST,512,1.215607166898203
Ridge,TOP_MINUS_REST,512,1.215607166898203
PLS,TOP_MINUS_REST,512,1.215607166898203
Lasso,TOP_MINUS_REST,512,1.213757676258092
