Model,Strategy,Rolling Window,Final Cumulative Return
NN5,TOP_MINUS_REST,252,0.6770763639485707
NN2,TOP_MINUS_REST,252,0.6443744016726989
chronos_t5,TOP_MINUS_REST,252,0.5624413705830051
NN3,TOP_MINUS_REST,252,0.433801673968219
NN1,TOP_MINUS_REST,252,0.4165558288876552
timefm,TOP_MINUS_REST,252,0.3024826023117477
OLS,TOP_MINUS_REST,512,1.311665933059262
Ridge,TOP_MINUS_REST,512,1.311665933059262
PLS,TOP_MINUS_REST,512,1.311665933059262
Lasso,TOP_MINUS_REST,512,1.310480393897899
PCR,TOP_MINUS_REST,512,1.1704647334220015
NN4,TOP_MINUS_REST,512,0.9668389483049674
NN5,TOP_MINUS_REST,512,0.7796851573026218
NN1,TOP_MINUS_REST,512,0.7530025533937866
unit2ts,TOP_MINUS_REST,512,0.7046363216428452
RF,TOP_MINUS_REST,512,0.6601118815435182
NN3,TOP_MINUS_REST,512,0.6179419152647837
NN2,TOP_MINUS_REST,512,0.5567751940437599
chronos_t5,TOP_MINUS_REST,512,0.5456468747468629
timefm,TOP_MINUS_REST,512,0.3849198174068948
