Model,Strategy,Rolling Window,Final Cumulative Return
unit2ts,SHORT_ONLY,512,5.416005499579164e-10
chronos_t5,SHORT_ONLY,512,4.222035305310458e-13
Lasso,SHORT_ONLY,512,2.914704913730144e-14
OLS,SHORT_ONLY,512,2.592393771854416e-14
Ridge,SHORT_ONLY,512,2.592393771854416e-14
PLS,SHORT_ONLY,512,2.592393771854416e-14
PCR,SHORT_ONLY,512,1.2302518980013478e-14
NN2,SHORT_ONLY,512,4.373403384335328e-15
NN5,SHORT_ONLY,512,1.3213138394668532e-15
NN4,SHORT_ONLY,512,4.563120486078444e-16
NN1,SHORT_ONLY,512,2.2725567841058945e-16
RF,SHORT_ONLY,512,1.3628090920496402e-16
NN3,SHORT_ONLY,512,3.0018880614339115e-17
Lasso,TOP_MINUS_REST,5,1.1202641953720145
OLS,TOP_MINUS_REST,5,1.103038824296236
Ridge,TOP_MINUS_REST,5,1.103038824296236
PLS,TOP_MINUS_REST,5,1.103038824296236
PCR,TOP_MINUS_REST,5,1.103038824296236
NN1,TOP_MINUS_REST,5,0.8266788987572593
NN4,TOP_MINUS_REST,5,0.5008044793173781
NN2,TOP_MINUS_REST,5,0.4817725420989623
RF,TOP_MINUS_REST,5,0.42966815291575405
NN3,TOP_MINUS_REST,5,0.3683909776690807
unit2ts,TOP_MINUS_REST,5,0.33380642552122464
NN5,TOP_MINUS_REST,5,0.32475132891946235
chronos_t5,TOP_MINUS_REST,5,0.28777210219387583
timefm,TOP_MINUS_REST,5,0.24683712270341593
PCR,TOP_MINUS_REST,21,1.0087432014465807
Lasso,TOP_MINUS_REST,21,0.8907256818097128
OLS,TOP_MINUS_REST,21,0.839847503138593
Ridge,TOP_MINUS_REST,21,0.839847503138593
PLS,TOP_MINUS_REST,21,0.839847503138593
NN2,TOP_MINUS_REST,21,0.5483329648327423
RF,TOP_MINUS_REST,21,0.5087973189099536
unit2ts,TOP_MINUS_REST,21,0.47950188351139184
NN4,TOP_MINUS_REST,21,0.47273264049281155
NN5,TOP_MINUS_REST,21,0.45602276050345614
NN1,TOP_MINUS_REST,21,0.41339148620166094
chronos_t5,TOP_MINUS_REST,21,0.3631113689150705
NN3,TOP_MINUS_REST,21,0.33847642433309244
timefm,TOP_MINUS_REST,21,0.23507405895614222
Lasso,TOP_MINUS_REST,252,1.1933196900801772
OLS,TOP_MINUS_REST,252,1.1835528679501814
Ridge,TOP_MINUS_REST,252,1.1835528679501814
PLS,TOP_MINUS_REST,252,1.1835528679501814
NN4,TOP_MINUS_REST,252,0.8807635413410295
PCR,TOP_MINUS_REST,252,0.8770623838768613
unit2ts,TOP_MINUS_REST,252,0.7406293964813242
RF,TOP_MINUS_REST,252,0.7270885179829989
NN5,TOP_MINUS_REST,252,0.6770763639485707
NN2,TOP_MINUS_REST,252,0.6443744016726989
chronos_t5,TOP_MINUS_REST,252,0.5624413705830051
NN3,TOP_MINUS_REST,252,0.433801673968219
NN1,TOP_MINUS_REST,252,0.4165558288876552
timefm,TOP_MINUS_REST,252,0.3024826023117477
OLS,TOP_MINUS_REST,512,1.311665933059262
Ridge,TOP_MINUS_REST,512,1.311665933059262
PLS,TOP_MINUS_REST,512,1.311665933059262
Lasso,TOP_MINUS_REST,512,1.310480393897899
PCR,TOP_MINUS_REST,512,1.1704647334220015
NN4,TOP_MINUS_REST,512,0.9668389483049674
NN5,TOP_MINUS_REST,512,0.7796851573026218
NN1,TOP_MINUS_REST,512,0.7530025533937866
unit2ts,TOP_MINUS_REST,512,0.7046363216428452
RF,TOP_MINUS_REST,512,0.6601118815435182
NN3,TOP_MINUS_REST,512,0.6179419152647837
NN2,TOP_MINUS_REST,512,0.5567751940437599
chronos_t5,TOP_MINUS_REST,512,0.5456468747468629
timefm,TOP_MINUS_REST,512,0.3849198174068948
